"Datum","Beschreibung","Ausprägung","Total","Kanton_Zürich_Ja","Kanton_Zürich_Nein","Alter_15-29","Alter_30-64","Alter_65-79","Männlich","Weiblich","Städtisch","Ländlich","Erwerbstätig","In_Ausbildung","Nicht_Erwerbstätig"
"2020-02-16","Distanz","weniger als 2 Km",26.1370581351609,26.1690790239845,26.1288190264355,19.3193463295511,27.3126907137833,31.2314555283968,23.0121484841792,29.2638431069973,26.0766869894297,26.2216547277966,25.9007398664026,19.7406427461636,32.3013706882511
"2020-02-16","Distanz","2 - 10 Kilometer",19.0557551982683,18.3583228771036,19.2352074537735,14.3836563185045,19.4109357752353,24.4558249360542,18.991098036406,19.1204511621882,21.3415086159437,15.8527854947971,19.0389546483792,12.2503641413436,24.5394878818682
"2020-02-16","Distanz","10 - 20 Kilometer",12.2016997737075,11.2400113431469,12.4491462322673,12.7267456835559,12.1612466964097,11.5971260648494,13.1933861163209,11.2094183002624,12.1152527657263,12.32283582687,12.3634882584926,12.5773732904777,11.1621580651313
"2020-02-16","Distanz","20 - 50 Kilometer",19.9411045757286,21.4989829831046,19.5402559406387,21.3164537428483,20.1393393744507,17.0683245019647,21.6728782946588,18.2082915847125,18.6660783042591,21.7277673395539,20.628633622838,20.758077630851,16.1427935570297
"2020-02-16","Distanz","50 - 100 Kilometer",10.6536138763604,9.64209979233539,10.9138806841138,13.898413883574,10.2302140135701,7.65213891739512,10.2437123256935,11.0637614171558,9.35613204126341,12.4717430658365,10.5408028451691,14.2297982727174,8.32912379525554
"2020-02-16","Distanz","100++ Kilometer",12.0107684407742,13.091503980325,11.7326906627712,18.3553840419662,10.7455734265509,7.99513005133982,12.8867767427416,11.1342344286837,12.444341283378,11.403213545146,11.5273807587184,20.4437439184468,7.52506601246411
"2020-02-16","Radius","weniger als 500 Meter",23.3899958481976,24.3983905377602,23.1305316736964,18.3842952563941,24.3213039758966,26.8416689516658,20.4291203491249,26.3526482279458,23.086627376106,23.81509858132,23.0645119143438,18.324189183719,28.9055853016336
"2020-02-16","Radius","500 Meter - 2 Kilometer",13.8064385586453,12.7406999603739,14.0806575608839,8.8151368652429,14.2507903274724,19.3004001881186,13.5812201771663,14.0317920981848,14.993165166265,12.1435079288073,13.448585340918,7.73468755064762,20.269503227272
"2020-02-16","Radius","2 - 10 Kilometer",27.9241949354307,27.7657676601925,27.9649589364847,25.5671620755172,28.4911307134729,29.0053175080452,30.5028974174266,25.3439449224394,28.9344116173086,26.508603296816,28.9537898481674,24.2990688882369,26.0882240705041
"2020-02-16","Radius","10 - 20 Kilometer",11.543139949228,11.6430211656179,11.5174400941743,13.8306346311993,11.4816127154791,8.42302833974021,12.3574620905504,10.7283291168827,9.74697461426716,14.0600619871949,12.1207375665587,12.0894779389898,8.46338708939641
"2020-02-16","Radius","20 - 50 Kilometer",12.6815846034847,12.362343992536,12.7637265489396,15.9470377556282,12.3670996006651,9.18803763613514,12.532780693985,12.8304778131902,11.1388436723157,14.8433892953771,12.7543679684545,17.2308552029392,8.73387432881188
"2020-02-16","Radius","50 - 100 Kilometer",6.83577215506487,6.23173962566568,6.99119225320165,10.3374671062964,6.11848249779016,4.70002815414596,6.5230327356809,7.14869925563671,7.72650384446599,5.58761187976485,6.0316341221032,12.7072498450562,5.85434242282356
"2020-02-16","Radius","100++ Kilometer",3.81887394994878,4.85803705785384,3.5514929326195,7.11826630972189,2.96958016922359,2.5415192221491,4.07348653606586,3.56410856572041,4.37347370927156,3.04172703071987,3.62637323945441,7.61447139041127,1.68508355955852
"2020-02-17","Distanz","weniger als 2 Km",11.5799560183931,10.9797840004161,11.7329932565992,7.33263016742631,10.033722964245,24.7382696916522,11.1921038013861,11.9680409932819,12.1996967748113,10.6991601881416,9.72278929745598,8.07923677985919,23.3320471464435
"2020-02-17","Distanz","2 - 10 Kilometer",20.5333870274396,20.6819079121788,20.4955158416202,18.7181475097182,20.1514635386186,24.9417234212309,17.4089054708805,23.6597436479454,25.7803763947065,13.0761941476737,19.2912512449947,21.4762341450878,25.6028783837616
"2020-02-17","Distanz","10 - 20 Kilometer",16.079344859112,13.0862910553152,16.8425405333778,16.8270109894642,15.0553841787399,19.4108294889126,15.7884613888525,16.3704028943667,17.5397396815204,14.0037839785715,14.8574953930484,19.3058785369459,19.1124539723724
"2020-02-17","Distanz","20 - 50 Kilometer",25.8579101540652,32.436243890897,24.1805076812268,30.0496424542919,26.4318271509027,17.0203630511983,27.3404474591392,24.3744831486679,22.1881413988821,31.0735055204786,28.0264518453062,23.501693423783,17.6109619772413
"2020-02-17","Distanz","50 - 100 Kilometer",15.7329113868103,13.4254080786851,16.3212992537044,14.8955571007033,17.9171206621885,7.48139930376014,16.1561054581677,15.3094633482167,12.8172240922256,19.8767815208804,17.7481790185187,13.9688395356114,7.7072157406666
"2020-02-17","Distanz","100++ Kilometer",10.2164905541799,9.39036506250796,10.4271434334716,12.1770117783962,10.4104815053053,6.40741504324584,12.113976421574,8.31786596752147,9.47482165785406,11.2705746442541,10.353833200676,13.6681175787126,6.63444277951462
"2020-02-17","Radius","weniger als 500 Meter",11.3821678642315,9.70509113647462,11.8098039135442,6.36840684166916,10.1073527550764,24.5164647330721,10.83758845686,11.92707408461,11.9173238622996,10.6215866587019,9.71638748053583,6.18371062125221,23.6723274126244
"2020-02-17","Radius","500 Meter - 2 Kilometer",12.973126004521,12.641657685642,13.0576467661604,12.4919140720482,12.1306607444713,17.3715090745894,11.8534563392196,14.0934676060087,16.4271936772455,8.06409207051716,11.4236533834783,14.3824048908659,19.0988314771264
